CustomerID,Lookalikes
C0001,"[('C0152', np.float64(0.9920393918649758)), ('C0174', np.float64(0.9690040056134134)), ('C0004', np.float64(0.7852539609231887))]"
C0002,"[('C0159', np.float64(0.9865445042779166)), ('C0134', np.float64(0.9499998552827444)), ('C0106', np.float64(0.7926112565992187))]"
C0003,"[('C0031', np.float64(0.9576068305908076)), ('C0195', np.float64(0.9498466693637435)), ('C0129', np.float64(0.9216662730651178))]"
C0004,"[('C0148', np.float64(0.8708532445230791)), ('C0113', np.float64(0.7884873363689915)), ('C0001', np.float64(0.7852539609231887))]"
C0005,"[('C0007', np.float64(0.971691831475196)), ('C0140', np.float64(0.945265855235087)), ('C0128', np.float64(0.7823560225502998))]"
C0006,"[('C0076', np.float64(0.8885647671233753)), ('C0187', np.float64(0.8875699231684305)), ('C0137', np.float64(0.7230174834137534))]"
C0007,"[('C0005', np.float64(0.971691831475196)), ('C0140', np.float64(0.9087074009374311)), ('C0128', np.float64(0.7512948155909598))]"
C0008,"[('C0046', np.float64(0.933199369785252)), ('C0098', np.float64(0.9087051005488757)), ('C0024', np.float64(0.8834335852179289))]"
C0009,"[('C0198', np.float64(0.976231095360932)), ('C0066', np.float64(0.767852990996382)), ('C0166', np.float64(0.6635541479281654))]"
C0010,"[('C0132', np.float64(0.8485427113353371)), ('C0061', np.float64(0.7618571249408831)), ('C0135', np.float64(0.6093683532125918))]"
C0011,"[('C0107', np.float64(0.9095797468010085)), ('C0155', np.float64(0.8206175367182019)), ('C0099', np.float64(0.7259935946223961))]"
C0012,"[('C0148', np.float64(0.9088419772176753)), ('C0004', np.float64(0.721154019589798)), ('C0188', np.float64(0.7207447226710587))]"
C0013,"[('C0087', np.float64(0.9771602187303604)), ('C0126', np.float64(0.9370318743744526)), ('C0099', np.float64(0.9231539054868672))]"
C0014,"[('C0060', np.float64(0.8540805191625365)), ('C0151', np.float64(0.7551800746971336)), ('C0089', np.float64(0.7429602377384511))]"
C0015,"[('C0131', np.float64(0.9222018845082145)), ('C0160', np.float64(0.7008739120095496)), ('C0185', np.float64(0.6954101110909275))]"
C0016,"[('C0183', np.float64(0.9202820134819937)), ('C0050', np.float64(0.8197138961403079)), ('C0042', np.float64(0.7383412813512271))]"
C0017,"[('C0041', np.float64(0.961731613876475)), ('C0075', np.float64(0.9570239077767516)), ('C0182', np.float64(0.9480681074129496))]"
C0018,"[('C0047', np.float64(0.9098286604174272)), ('C0065', np.float64(0.8856239702650167)), ('C0035', np.float64(0.8368167254559529))]"
C0019,"[('C0070', np.float64(0.9026994873617045)), ('C0063', np.float64(0.7276636500682822)), ('C0119', np.float64(0.7166552927787166))]"
C0020,"[('C0058', np.float64(0.7410501011590873)), ('C0050', np.float64(0.7217428262259177)), ('C0072', np.float64(0.6762079029349637))]"
